Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,Cross-encoder inference
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,2,143,91.8721897810219,0.8915891005647119,0.8327548503875732,0.7079958,neutral
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,2,74,92.2555868544601,0.9600048718359734,0.8722231388092041,0.89504623,entailment
pair_52,collaborative_ssd_case_inspection,gpt-oss:20b,2,183,72.14173770491806,0.9128765472463777,0.8980757594108582,0.59655005,neutral
pair_53,collaborative_ssd_case_inspection,gpt-oss:20b,2,67,88.20248756218909,0.9432180834396179,0.8710516691207886,0.8336192,neutral
pair_54,collaborative_ssd_case_inspection,gpt-oss:20b,2,159,72.45825471698114,0.9221096756649694,0.8988820314407349,0.68567854,contradiction
pair_55,collaborative_ssd_case_inspection,gpt-oss:20b,2,36,92.215,0.6944971990361304,0.8392574787139893,0.84962004,neutral
pair_56,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,78.67625,0.6918636671383821,0.7851881980895996,0.5736767,neutral
pair_57,collaborative_ssd_case_inspection,gpt-oss:20b,2,157,75.81495541401274,0.8904683317523873,0.8841177821159363,0.7424574,entailment
pair_58,collaborative_ssd_case_inspection,gpt-oss:20b,2,87,74.87599137931036,0.7687993270633618,0.7979927062988281,0.6578725,neutral
pair_59,collaborative_ssd_case_inspection,gpt-oss:20b,2,80,74.01833333333335,0.8620402891579395,0.7768299579620361,0.7073198,neutral
pair_60,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,87.48875000000001,0.7125174521998379,0.7924907803535461,0.60650986,neutral
pair_61,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,74.52569444444444,0.8030705119805793,0.8212534785270691,0.61341876,neutral
pair_62,collaborative_ssd_case_inspection,gpt-oss:20b,2,67,81.24270522388062,0.8652626191447813,0.8318282961845398,0.7783448,neutral
pair_63,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,80.15310502283108,0.8975517058178155,0.8013589978218079,0.7812516,entailment
pair_64,collaborative_ssd_case_inspection,gpt-oss:20b,2,99,80.87738636363639,0.8517181592201645,0.833663284778595,0.80059713,neutral
pair_65,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,72.89666666666668,0.8098529560985188,0.8269227147102356,0.60372746,neutral
pair_66,collaborative_ssd_case_inspection,gpt-oss:20b,2,84,90.84857142857145,0.9232906801870129,0.8518807888031006,0.8514071,entailment
pair_67,collaborative_ssd_case_inspection,gpt-oss:20b,2,132,74.28900000000002,0.9061043836474222,0.9025231003761292,0.6869761,contradiction
pair_68,collaborative_ssd_case_inspection,gpt-oss:20b,2,53,83.55238993710694,0.8796207499810508,0.8202510476112366,0.6786547,neutral
pair_69,collaborative_ssd_case_inspection,gpt-oss:20b,2,132,66.59809090909094,0.7043256898215094,0.8367490768432617,0.5149348,entailment
pair_70,collaborative_ssd_case_inspection,gpt-oss:20b,2,143,80.29591491841494,0.9170170097652471,0.8761241436004639,0.6930403,neutral
pair_71,collaborative_ssd_case_inspection,gpt-oss:20b,2,80,64.92250000000003,0.6197530476094056,0.7821545600891113,0.69065267,neutral
pair_72,collaborative_ssd_case_inspection,gpt-oss:20b,2,133,70.67572368421054,0.9076214301421166,0.8117583394050598,0.52250296,neutral
pair_73,collaborative_ssd_case_inspection,gpt-oss:20b,2,141,72.58250000000001,0.8989142429703796,0.8766287565231323,0.5881716,entailment
pair_74,collaborative_ssd_case_inspection,gpt-oss:20b,2,108,79.161,0.8950862817169302,0.8634417057037354,0.6324107,entailment
pair_75,collaborative_ssd_case_inspection,gpt-oss:20b,2,56,70.05261904761907,0.6694908228887441,0.7004442811012268,0.59640896,entailment
pair_76,collaborative_ssd_case_inspection,gpt-oss:20b,2,42,86.82000000000001,0.8617924773820292,0.7990719079971313,0.75436795,neutral
pair_77,collaborative_ssd_case_inspection,gpt-oss:20b,2,278,76.31267086330938,0.9138284404327315,0.8426601886749268,0.71914554,neutral
pair_78,collaborative_ssd_case_inspection,gpt-oss:20b,2,49,81.82872448979593,0.8531760770639556,0.9081084728240967,0.8790349,neutral
pair_79,collaborative_ssd_case_inspection,gpt-oss:20b,2,143,81.37383216783219,0.9349178423967531,0.8553453087806702,0.7183108,entailment
pair_80,collaborative_ssd_case_inspection,gpt-oss:20b,2,108,90.12766666666667,0.9090633239585142,0.875196099281311,0.698815,neutral
pair_81,collaborative_ssd_case_inspection,gpt-oss:20b,2,238,68.44951541850223,0.8415978300658962,0.8555735945701599,0.6826813,neutral
pair_82,collaborative_ssd_case_inspection,gpt-oss:20b,2,124,78.7438172043011,0.9371928756424696,0.8984833359718323,0.5971878,neutral
pair_83,collaborative_ssd_case_inspection,gpt-oss:20b,2,167,62.07818181818183,0.8119697162228826,0.8364747166633606,0.6502199,neutral
pair_84,collaborative_ssd_case_inspection,gpt-oss:20b,2,131,87.89238167938935,0.6614863411863308,0.8276627659797668,0.67003185,entailment
pair_85,collaborative_ssd_case_inspection,gpt-oss:20b,2,100,75.71166666666667,0.9260349767875483,0.8827723264694214,0.65006727,neutral
pair_86,collaborative_ssd_case_inspection,gpt-oss:20b,2,141,74.41200000000002,0.8970855670356458,0.7992779016494751,0.72439724,neutral
pair_87,collaborative_ssd_case_inspection,gpt-oss:20b,2,60,70.35000000000002,0.9347878847505451,0.8450172543525696,0.6423079,entailment
pair_88,collaborative_ssd_case_inspection,gpt-oss:20b,2,155,91.57290322580648,0.932142491674979,0.9318806529045105,0.80612844,entailment
pair_89,collaborative_ssd_case_inspection,gpt-oss:20b,2,117,84.59240384615386,0.9465431519718295,0.9125638604164124,0.70870346,entailment
pair_90,collaborative_ssd_case_inspection,gpt-oss:20b,2,132,91.57318181818182,0.9514415628518832,0.8550988435745239,0.8493379,entailment
pair_91,collaborative_ssd_case_inspection,gpt-oss:20b,2,143,86.80360722610723,0.9343874027508482,0.8924437165260315,0.7384624,contradiction
pair_92,collaborative_ssd_case_inspection,gpt-oss:20b,2,186,83.99173184357542,0.9732050588194763,0.8731026649475098,0.69555426,entailment
pair_93,collaborative_ssd_case_inspection,gpt-oss:20b,2,115,90.27474637681159,0.9308778808053468,0.8311852216720581,0.77116996,entailment
pair_94,collaborative_ssd_case_inspection,gpt-oss:20b,2,146,82.16686301369863,0.9773252183231239,0.8826367855072021,0.8020404,neutral
pair_95,collaborative_ssd_case_inspection,gpt-oss:20b,2,57,97.01315789473686,0.9001061508525247,0.8611508011817932,0.87249786,entailment
pair_96,collaborative_ssd_case_inspection,gpt-oss:20b,2,110,85.29227272727275,0.917635703468998,0.7943441271781921,0.6668347,neutral
pair_97,collaborative_ssd_case_inspection,gpt-oss:20b,2,172,75.99171052631579,0.7933713980815409,0.8217686414718628,0.6778814,neutral
pair_98,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,68.85666666666668,0.8885095457498274,0.8525611758232117,0.8253777,neutral
pair_99,collaborative_ssd_case_inspection,gpt-oss:20b,2,87,85.02068965517242,0.9484446272512497,0.8841512799263,0.9027517,entailment
pair_100,collaborative_ssd_case_inspection,gpt-oss:20b,2,109,72.16671559633028,0.8512952512181852,0.8382960557937622,0.5838895,contradiction
pair_101,collaborative_ssd_case_inspection,gpt-oss:20b,2,70,88.76107142857146,0.9210609941201605,0.8043939471244812,0.8691272,neutral
pair_102,collaborative_ssd_case_inspection,gpt-oss:20b,2,112,63.24185714285717,0.7826866105612057,0.8212487101554871,0.651887,neutral
pair_103,collaborative_ssd_case_inspection,gpt-oss:20b,2,92,79.08471014492756,0.7421692701974222,0.8039615154266357,0.74091184,neutral
pair_104,collaborative_ssd_case_inspection,gpt-oss:20b,2,109,76.04744954128441,0.9201702378874669,0.8656413555145264,0.6982406,neutral
pair_105,collaborative_ssd_case_inspection,gpt-oss:20b,2,68,76.52794117647062,0.9018397218600991,0.8019863963127136,0.7809502,entailment
pair_106,collaborative_ssd_case_inspection,gpt-oss:20b,2,102,77.47605882352943,0.9032799648463576,0.8486790060997009,0.6767435,neutral
pair_107,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,70.88187214611875,0.893443818120416,0.8125447630882263,0.68414235,neutral
pair_108,collaborative_ssd_case_inspection,gpt-oss:20b,2,135,87.36291666666668,0.9084453200026762,0.851108729839325,0.5905961,entailment
pair_109,collaborative_ssd_case_inspection,gpt-oss:20b,2,63,83.46285714285716,0.8539864924534402,0.8406994342803955,0.78792804,neutral
pair_110,collaborative_ssd_case_inspection,gpt-oss:20b,2,162,82.55611111111112,0.9282291137539828,0.885551929473877,0.65543354,neutral
pair_111,collaborative_ssd_case_inspection,gpt-oss:20b,2,115,78.34070652173914,0.9605530737660182,0.8106266856193542,0.7533556,entailment
pair_112,collaborative_ssd_case_inspection,gpt-oss:20b,2,51,91.70941176470589,0.8118502388472179,0.8351467251777649,0.76654214,entailment
pair_113,collaborative_ssd_case_inspection,gpt-oss:20b,2,125,85.52276666666668,0.9483792828368888,0.8461230397224426,0.77096975,neutral
pair_114,collaborative_ssd_case_inspection,gpt-oss:20b,2,75,88.11550000000001,0.5898168327773834,0.7482288479804993,0.75171846,entailment
pair_115,collaborative_ssd_case_inspection,gpt-oss:20b,2,120,83.77500000000002,0.9289732217416251,0.8531121611595154,0.72599536,entailment
pair_116,collaborative_ssd_case_inspection,gpt-oss:20b,2,164,82.97939024390246,0.9078116653180571,0.8449360728263855,0.7517125,neutral
pair_117,collaborative_ssd_case_inspection,gpt-oss:20b,2,218,79.95699065420561,0.8937467225800034,0.7155537009239197,0.71093065,entailment
pair_118,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,89.4243378995434,0.92126196961405,0.8064329624176025,0.84933573,entailment
pair_119,collaborative_ssd_case_inspection,gpt-oss:20b,2,74,63.76975675675678,0.9195356283790503,0.8557848930358887,0.64924586,neutral
pair_120,collaborative_ssd_case_inspection,gpt-oss:20b,2,92,75.40644927536233,0.8882525759229831,0.8351790308952332,0.7967986,entailment
pair_121,collaborative_ssd_case_inspection,gpt-oss:20b,2,161,78.70972567287788,0.9220165454944221,0.8706017732620239,0.68746996,contradiction
pair_122,collaborative_ssd_case_inspection,gpt-oss:20b,2,145,91.29137931034484,0.9426496985162917,0.868644118309021,0.6069237,contradiction
pair_123,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,78.76230769230773,0.8767661022566605,0.8739612698554993,0.65764624,contradiction
pair_124,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,79.95378217821785,0.8975294939227949,0.8691654205322266,0.60392755,neutral
pair_125,collaborative_ssd_case_inspection,gpt-oss:20b,2,89,83.49169943820225,0.8318681764406065,0.8508944511413574,0.62227297,contradiction
pair_126,collaborative_ssd_case_inspection,gpt-oss:20b,2,93,76.48314516129035,0.9128792332973057,0.8001823425292969,0.7229284,entailment
pair_127,collaborative_ssd_case_inspection,gpt-oss:20b,2,76,97.3842105263158,0.9259740259740257,0.8184744715690613,0.8391018,neutral
pair_128,collaborative_ssd_case_inspection,gpt-oss:20b,2,114,87.96142105263161,0.9007068784608881,0.8272156715393066,0.87171197,entailment
pair_129,collaborative_ssd_case_inspection,gpt-oss:20b,2,70,62.09928571428571,0.9287699603140949,0.7329930067062378,0.73316073,entailment
pair_130,collaborative_ssd_case_inspection,gpt-oss:20b,2,78,85.08865384615387,0.8043084610730244,0.7739202380180359,0.70339626,neutral
pair_131,collaborative_ssd_case_inspection,gpt-oss:20b,2,141,94.4535416666667,0.9371493812874413,0.8352758288383484,0.77135736,entailment
pair_132,collaborative_ssd_case_inspection,gpt-oss:20b,2,103,78.85020631067964,0.8863478218530496,0.7553512454032898,0.7244836,contradiction
pair_133,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,64.38750000000003,0.5676074027731912,0.8329356908798218,0.6987635,entailment
pair_134,collaborative_ssd_case_inspection,gpt-oss:20b,2,69,75.59434782608699,0.9411059730241884,0.8199886679649353,0.68272656,contradiction
pair_135,collaborative_ssd_case_inspection,gpt-oss:20b,2,98,68.87974489795918,0.9072026235095298,0.797355055809021,0.6664901,neutral
pair_136,collaborative_ssd_case_inspection,gpt-oss:20b,2,90,81.72180232558142,0.863616957600126,0.8225390911102295,0.63830864,neutral
pair_137,collaborative_ssd_case_inspection,gpt-oss:20b,2,60,69.50500000000004,0.8120193489925435,0.781593918800354,0.68753016,neutral
pair_138,collaborative_ssd_case_inspection,gpt-oss:20b,2,234,85.39008771929826,0.9467360044837415,0.8705219030380249,0.69549847,entailment
pair_139,collaborative_ssd_case_inspection,gpt-oss:20b,2,93,100.13475806451616,0.9242322929164244,0.8548563718795776,0.7643419,neutral
pair_140,collaborative_ssd_case_inspection,gpt-oss:20b,2,178,80.4739655172414,0.9374017432118025,0.861454963684082,0.59246224,contradiction
pair_141,collaborative_ssd_case_inspection,gpt-oss:20b,2,83,84.86531626506026,0.8464150818970655,0.8672122359275818,0.7455834,entailment
pair_142,collaborative_ssd_case_inspection,gpt-oss:20b,2,117,85.31548076923079,0.9343738669889754,0.8913661241531372,0.86405534,neutral
pair_143,collaborative_ssd_case_inspection,gpt-oss:20b,2,91,78.66090109890112,0.5790335269910505,0.7192389965057373,0.6438579,entailment
pair_144,collaborative_ssd_case_inspection,gpt-oss:20b,2,111,82.17227027027029,0.6553174284718606,0.8090950846672058,0.6199845,entailment
pair_145,collaborative_ssd_case_inspection,gpt-oss:20b,2,45,80.5975,0.8663251184166281,0.8421517014503479,0.79354346,entailment
pair_146,collaborative_ssd_case_inspection,gpt-oss:20b,2,120,88.00500000000002,0.9000377437292436,0.8470881581306458,0.6607812,entailment
pair_147,collaborative_ssd_case_inspection,gpt-oss:20b,2,134,76.2369776119403,0.9682942803806445,0.8943517804145813,0.7797008,entailment
pair_148,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,77.13538461538464,0.7468377051893366,0.8380526900291443,0.76075405,entailment
pair_149,collaborative_ssd_case_inspection,gpt-oss:20b,2,67,96.39494402985075,0.8775068569892435,0.8265628218650818,0.7815448,entailment
pair_150,collaborative_ssd_case_inspection,gpt-oss:20b,2,112,78.70785714285716,0.951995844061944,0.8870465755462646,0.49830455,neutral
pair_151,collaborative_ssd_case_inspection,gpt-oss:20b,2,105,81.89410714285717,0.9512259258003202,0.885986328125,0.72778535,entailment
pair_152,collaborative_ssd_case_inspection,gpt-oss:20b,2,97,92.0780206185567,0.8928013809433812,0.8199421167373657,0.6694282,entailment
