Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,LLM-judge similarity,LLM-judge similarity SD,LLM-judge similarity MAD
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,82.82961538461542,0.7115124735378853,0.9604684114456177,0.97647446,1.0,0.0,0.0
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9316277503967285,0.8215086,1.0,0.0,0.0
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,91.53347826086959,0.6700703342736221,0.9443489909172058,0.9849887,1.0,0.0,0.0
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.6908083950040845,0.9375247359275818,0.75700337,0.095,0.0,0.0
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9364061951637268,0.8215245,1.0,0.0,0.0
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9302604794502258,0.858813,1.0,0.0,0.0
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9364883899688721,0.80920756,1.0,0.0,0.0
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9346099495887756,0.87982595,1.0,0.0,0.0
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.936760663986206,0.8274729,1.0,0.0,0.0
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.7298004491997617,0.9449495077133179,0.88697946,1.0,0.0,0.0
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.6350852961085884,0.9278906583786011,0.97975093,1.0,0.0,0.0
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9355041980743408,0.83439636,1.0,0.0,0.0
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.6531972647421809,0.9300119876861572,0.9824186,1.0,0.0,0.0
pair_52,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9336044192314148,0.8186294,1.0,0.0,0.0
pair_53,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.6790997501017324,0.9592947959899902,0.9688686,1.0,0.0,0.0
pair_54,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9359446167945862,0.83909917,1.0,0.0,0.0
pair_55,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,86.708,0.5334005334008002,0.91097491979599,0.7892373,1.0,0.0,0.0
pair_56,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.940210223197937,0.830244,1.0,0.0,0.0
pair_57,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.935899555683136,0.8177659,1.0,0.0,0.0
pair_58,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,89.5921052631579,0.683029018740554,0.9185149669647217,0.7786848,1.0,0.0,0.0
pair_59,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9351320862770081,0.87243706,1.0,0.0,0.0
pair_60,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9401342272758484,0.83452237,1.0,0.0,0.0
pair_61,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9338138699531555,0.8794221,1.0,0.0,0.0
pair_62,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.619256215850568,0.916122555732727,0.90259075,1.0,0.0,0.0
pair_63,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9291061162948608,0.819024,1.0,0.0,0.0
pair_64,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,97.70500000000003,0.5809475019311127,0.91526859998703,0.9378468,1.0,0.0,0.0
pair_65,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9301490187644958,0.809282,1.0,0.0,0.0
pair_66,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,83.77500000000002,0.6273764344284782,0.9406610131263733,0.9043163,1.0,0.0,0.0
pair_67,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9275120496749878,0.8528803,0.64,0.440908153700972,0.0
pair_68,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,90.09200000000001,0.7777137710478189,0.9551721215248108,0.93672496,1.0,0.0,0.0
pair_69,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,89.5921052631579,0.6928910298015297,0.9169906377792358,0.76519036,1.0,0.0,0.0
pair_70,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9360340237617493,0.77550477,1.0,0.0,0.0
pair_71,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9331101179122925,0.8733923,1.0,0.0,0.0
pair_72,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9373645186424255,0.82081467,1.0,0.0,0.0
pair_73,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9328107237815857,0.80092347,1.0,0.0,0.0
pair_74,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.935921311378479,0.8194792,1.0,0.0,0.0
pair_75,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.8126045083289422,0.96607905626297,0.85785395,1.0,0.0,0.0
pair_76,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.6328318816843778,0.9574702382087708,0.9766219,1.0,0.0,0.0
pair_77,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9316311478614807,0.8265945,1.0,0.0,0.0
pair_78,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,83.77500000000002,0.7487767802667671,0.9680095911026001,0.97980016,1.0,0.0,0.0
pair_79,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9303474426269531,0.82625896,1.0,0.0,0.0
pair_80,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.6835365551469959,0.9593499302864075,0.9742915,1.0,0.0,0.0
pair_81,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9200305342674255,0.8829932,1.0,0.0,0.0
pair_82,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9322153925895691,0.8175006,1.0,0.0,0.0
pair_83,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9370422959327698,0.88260734,1.0,0.0,0.0
pair_84,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9340401291847229,0.80957687,1.0,0.0,0.0
pair_85,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9354708194732666,0.82000935,1.0,0.0,0.0
pair_86,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.7832758944079431,0.9674307703971863,0.8348255,1.0,0.0,0.0
pair_87,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,92.21409090909091,0.7570719217728537,0.9480171203613281,0.8621356,1.0,0.0,0.0
pair_88,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7366351076087241,0.9250004291534424,0.82562953,1.0,0.0,0.0
pair_89,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9141691327095032,0.8923829,1.0,0.0,0.0
pair_90,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7366351076087241,0.9245489239692688,0.88939095,1.0,0.0,0.0
pair_91,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9127883911132812,0.89310163,1.0,0.0,0.0
pair_92,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8544783984006459,0.9704582095146179,0.8769722,1.0,0.0,0.0
pair_93,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.9351748824119568,0.8432582,1.0,0.0,0.0
pair_94,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.933152973651886,0.8934814,1.0,0.0,0.0
pair_95,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,91.53347826086959,0.7211102550927978,0.9417740106582642,0.85179144,1.0,0.0,0.0
pair_96,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.42835973607712413,0.7790339589118958,0.6817666,1.0,0.0,0.0
pair_97,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8541668179859152,0.9683363437652588,0.89431715,1.0,0.0,0.0
pair_98,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845059,0.9245187044143677,0.83889824,1.0,0.0,0.0
pair_99,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,90.09200000000001,0.6550432296063071,0.9248763918876648,0.84285307,1.0,0.0,0.0
pair_100,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845059,0.9246779680252075,0.8476592,1.0,0.0,0.0
pair_101,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,90.82500000000003,0.7559289460184545,0.9282092452049255,0.8083413,1.0,0.0,0.0
pair_102,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.934069812297821,0.8429103,1.0,0.0,0.0
pair_103,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.07411764705884,0.529150262212918,0.8505659699440002,0.7455621,1.0,0.0,0.0
pair_104,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.9354358911514282,0.8735503,1.0,0.0,0.0
pair_105,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9325856566429138,0.8410398,1.0,0.0,0.0
pair_106,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,84.845,0.5101705328640019,0.8684435486793518,0.77852166,1.0,0.0,0.0
pair_107,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8544783984006459,0.9704374670982361,0.88628435,1.0,0.0,0.0
pair_108,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9107571840286255,0.87948877,1.0,0.0,0.0
pair_109,collaborative_ssd_case_inspection,gpt-oss:20b,1,30,74.86500000000002,0.7487048859271456,0.9434118270874023,0.9667157,1.0,0.0,0.0
pair_110,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9116708040237427,0.8877808,1.0,0.0,0.0
pair_111,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9129753112792969,0.8891023,1.0,0.0,0.0
pair_112,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,96.05954545454546,0.6510592946331427,0.9227126240730286,0.85012287,1.0,0.0,0.0
pair_113,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9345021843910217,0.8270246,1.0,0.0,0.0
pair_114,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,87.85521739130436,0.8202924943750567,0.9543429613113403,0.83341104,1.0,0.0,0.0
pair_115,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9344533085823059,0.89673597,1.0,0.0,0.0
pair_116,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.8113070800148313,0.9648874998092651,0.8678507,1.0,0.0,0.0
pair_117,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8544783984006459,0.9687672257423401,0.88403183,1.0,0.0,0.0
pair_118,collaborative_ssd_case_inspection,gpt-oss:20b,1,29,81.13103448275862,0.730435887238472,0.9557033777236938,0.8795722,1.0,0.0,0.0
pair_119,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.9401842355728149,0.8563876,1.0,0.0,0.0
pair_120,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9356616735458374,0.84689546,1.0,0.0,0.0
pair_121,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.8113070800148313,0.9667264819145203,0.858306,1.0,0.0,0.0
pair_122,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9363049864768982,0.89607,1.0,0.0,0.0
pair_123,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.9204104542732239,0.9023589,1.0,0.0,0.0
pair_124,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8544783984006459,0.9728176593780518,0.88724643,1.0,0.0,0.0
pair_125,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,92.21409090909091,0.8020767218098107,0.9576231241226196,0.87918395,1.0,0.0,0.0
pair_126,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9328144788742065,0.8426787,1.0,0.0,0.0
pair_127,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,82.82961538461542,0.7862136275414389,0.9722980856895447,0.8917012,1.0,0.0,0.0
pair_128,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.8124038404635957,0.9640005826950073,0.8562692,0.4600000000000001,0.4409081537009721,0.0
pair_129,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,93.47500000000002,0.669170156080423,0.9059927463531494,0.8420341,1.0,0.0,0.0
pair_130,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.931657612323761,0.8310268,1.0,0.0,0.0
pair_131,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,90.13250000000001,0.7993052538854534,0.9376260042190552,0.85474306,1.0,0.0,0.0
pair_132,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.937476396560669,0.9038411,1.0,0.0,0.0
pair_133,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.9314529299736023,0.8478096,1.0,0.0,0.0
pair_134,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.8113070800148313,0.9651503562927246,0.8659303,1.0,0.0,0.0
pair_135,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845058,0.933807909488678,0.8440525,1.0,0.0,0.0
pair_136,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.724979178280424,0.9357901811599731,0.8453248,1.0,0.0,0.0
pair_137,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,84.8057142857143,0.7933632757799681,0.9676638841629028,0.8694778,1.0,0.0,0.0
pair_138,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9215136170387268,0.8882448,1.0,0.0,0.0
pair_139,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,89.33730769230772,0.7104413351968636,0.9646924734115601,0.9167584,1.0,0.0,0.0
pair_140,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,92.21409090909091,0.8020767218098107,0.9620535373687744,0.8117896,1.0,0.0,0.0
pair_141,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.613696485751203,0.9095252156257629,0.8151553,1.0,0.0,0.0
pair_142,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,90.09200000000001,0.7106690545187015,0.9383643269538879,0.8727664,1.0,0.0,0.0
pair_143,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845059,0.9349381923675537,0.834463,1.0,0.0,0.0
pair_144,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7396002616336389,0.9193756580352783,0.8474074,1.0,0.0,0.0
pair_145,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7307313144845059,0.9342147707939148,0.8456252,1.0,0.0,0.0
pair_146,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8553372034476996,0.9710994362831116,0.87167853,1.0,0.0,0.0
pair_147,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,92.21409090909091,0.8020767218098107,0.9607746601104736,0.87568456,1.0,0.0,0.0
pair_148,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,85.07411764705884,0.7366351076087241,0.9349326491355896,0.89311326,1.0,0.0,0.0
pair_149,collaborative_ssd_case_inspection,gpt-oss:20b,1,28,87.77214285714288,0.7139328934618736,0.9707843661308289,0.93066823,1.0,0.0,0.0
pair_150,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.8124038404635958,0.9730120301246643,0.89715326,1.0,0.0,0.0
pair_151,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.8141736840986622,0.9681070446968079,0.84864926,1.0,0.0,0.0
pair_152,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.7336739820667779,0.9214898347854614,0.8845808,1.0,0.0,0.0
